DATE,SR.NO,CARAT RANGE,COLOR,CLARITY,DEMAND
28-03-22,1,0.30-0.39,I,SI1,-77
28-03-22,2,0.30-0.39,G,SI1,-62
28-03-22,3,1.00-1.49,I,SI1,-61
28-03-22,4,0.30-0.39,G,VS1,-53
28-03-22,5,0.30-0.39,D,SI2,-50
26-03-22,1,0.30-0.39,D,VS1,-109
26-03-22,2,0.30-0.39,D,VVS2,-91
26-03-22,3,0.30-0.39,D,VS2,-88
26-03-22,4,0.30-0.39,F,VVS2,-60
26-03-22,5,0.50-0.69,D,VS1,-43
25-03-22,1,0.30-0.39,D,IF,-47
25-03-22,2,0.40-0.49,M,VS1,-17
25-03-22,3,0.40-0.49,M,VVS1,-15
25-03-22,4,0.40-0.49,M,VVS1,-15
25-03-22,5,0.30-0.39,J,I1,-14
24-03-22,1,0.30-0.39,H,VVS2,-364
24-03-22,2,0.30-0.39,E,VS2,-322
24-03-22,3,0.30-0.39,I,VVS1,-321
24-03-22,4,0.30-0.39,I,VVS2,-318
24-03-22,5,0.30-0.39,D,VS2,-231
23-03-22,1,0.30-0.39,I,VS2,-76
23-03-22,2,0.50-0.69,D,SI1,-62
23-03-22,3,0.50-0.69,G,SI1,-43
23-03-22,4,0.50-0.69,D,IF,-38
23-03-22,5,0.50-0.69,D,IF,-38
22-03-22,1,0.30-0.39,D,VS2,-329
22-03-22,2,0.30-0.39,E,VS2,-321
22-03-22,3,0.50-0.69,G,VS2,-319
22-03-22,4,0.50-0.69,F,VS2,-318
22-03-22,5,0.50-0.69,G,VS1,-288
21-03-22,1,0.40-0.49,F,SI2,-81
21-03-22,2,0.70-0.89,G,SI2,-55
21-03-22,3,0.50-0.69,G,VVS2,-51
21-03-22,4,1.00-1.49,G,SI2,-47
21-03-22,5,1.00-1.49,E,SI2,-43
19-03-22,1,0.30-0.39,F,SI1,-305
19-03-22,2,0.30-0.39,G,SI1,-288
19-03-22,3,0.30-0.39,G,VS2,-188
19-03-22,4,0.30-0.39,H,SI1,-156
19-03-22,5,0.30-0.39,G,SI2,-99
17-03-22,1,0.30-0.39,E,VS1,-61
17-03-22,2,1.00-1.49,D,VVS1,-50
17-03-22,3,0.30-0.39,E,VVS2,-46
17-03-22,4,0.30-0.39,I,SI2,-36
17-03-22,5,0.30-0.39,H,SI2,-35
16-03-22,1,0.50-0.69,I,VS2,-49
16-03-22,2,0.40-0.49,H,VVS2,-31
16-03-22,3,1.00-1.49,G,I1,-27
16-03-22,4,0.40-0.49,E,VVS2,-26
16-03-22,5,0.40-0.49,E,VVS2,-26
15-03-22,1,0.30-0.39,F,SI2,-238
15-03-22,2,0.30-0.39,E,SI2,-217
15-03-22,3,0.30-0.39,E,SI1,-201
15-03-22,4,0.30-0.39,F,SI1,-179
15-03-22,5,0.30-0.39,D,SI2,-177
14-03-22,1,0.30-0.39,D,SI1,-112
14-03-22,2,0.30-0.39,D,SI2,-110
14-03-22,3,0.30-0.39,E,SI2,-101
14-03-22,4,0.30-0.39,E,SI1,-100
14-03-22,5,0.30-0.39,D,VS2,-73
12-03-22,1,0.30-0.39,K,SI1,-38
12-03-22,2,0.30-0.39,K,VS2,-25
12-03-22,3,0.30-0.39,K,VS1,-23
12-03-22,4,0.30-0.39,J,SI2,-22
12-03-22,5,0.30-0.39,E,I1,-19
11-03-22,1,0.30 - 0.39,E,VS2,-182
11-03-22,2,0.30 - 0.39,D,VS2,-173
11-03-22,3,0.30 - 0.39,F,SI1,-166
11-03-22,4,0.30 - 0.39,I,VS2,-140
11-03-22,5,0.30 - 0.39,E,VS1,-129
08-03-22,1,0.50-0.69,G,VS2,-133
08-03-22,2,0.30-0.39,F,VS2,-86
08-03-22,3,0.50-0.69,H,VS2,-61
08-03-22,4,1.00-1.49,D,SI1,-56
08-03-22,5,0.30-0.39,H,VS2,-46
